,modelo_id,modelo,marca,comb,version,engine,category,transmission_type,doors,hp,valves
1286,1460,Discovery ES TD5 2.5 4x4 4p Diesel Aut.,Land Rover,Diesel,2.5,Diesel,,Auto,4,,
1287,7973,Discovery HSE 3.0 V6 4x4 TD6 Diesel Aut.,Land Rover,Diesel,3.0,V6/V8,,Auto,,,
1288,8017,Discovery SE 3.0 V6 4x4 TD6  Diesel Aut.,Land Rover,Diesel,3.0,V6/V8,,Auto,,,
1289,9023,Discovery Sport SE R-Dyn 2.0 Si4 Flex,Land Rover,Gasolina,2.0,Flex,Sport,,,,
1290,1465,Discovery3 S 2.7 4x4 TDI Diesel Aut.,Land Rover,Diesel,2.7,Diesel,,Auto,,,
1291,5899,Discovery4 S 3.0 4X4 TDV6 Diesel Aut.,Land Rover,Diesel,3.0,V6/V8,,Auto,,,
1292,5557,Freelander2 HSE 2.2 SD4 190cv T.Diesel,Land Rover,Diesel,2.2,Diesel,,,,1,
1293,4303,Freelander2 I6 HSE 3.2 232cv Aut. 5p,Land Rover,Gasolina,3.2,,,Auto,5,2,
1294,5558,Freelander2 S 2.2 SD4 190cv T.Diesel,Land Rover,Diesel,2.2,Diesel,,,,1,
1295,6387,Freelander2 Si4 S 2.0 240cv Aut. 5p,Land Rover,Gasolina,2.0,,,Auto,5,2,
1296,6641,Range R. Sport HSE Dynamic SUPERC.5.0 V8,Land Rover,Gasolina,5.0,V6/V8,Sport,,,,
1297,6391,Range R. Vogue Autob. SUPERCHAR. 5.0 V8,Land Rover,Gasolina,5.0,V6/V8,,Auto,,,
1299,5133,Range R.Sport SE 3.0 4x4 TDV6/SDV6 Dies.,Land Rover,Diesel,3.0,V6/V8,Sport,,,,
1301,7798,Range Rover EVOQUE SE 2.0 Diesel Aut.,Land Rover,Diesel,2.0,Diesel,,Auto,,,
1305,5145,Range Rover Sport HSE 3.0 4x4 SDV6 Dies.,Land Rover,Diesel,3.0,V6/V8,Sport,,,,
1307,7157,Range Rover Sport SVR SUPERCHA. 5.0 V8,Land Rover,Gasolina,5.0,V6/V8,Sport,,,,
1309,4332,Range Rover Vogue 3.6 TDV8 272cv Diesel,Land Rover,Diesel,3.6,V6/V8,,,,2,
1310,5146,Range Rover Vogue SE SUPERCHAR. 5.0 V8,Land Rover,Gasolina,5.0,V6/V8,,,,,
1311,4260,ES-350 3.5 24V 284cv,Lexus,Gasolina,3.5,,,,,2,24
1315,6067,LS-460L 4.6 V8 32v 347cv Aut.,Lexus,Gasolina,4.6,V6/V8,,Auto,,3,
1316,10033,NX-350h F-Sport 2.5 16V Aut. (Híbrido),Lexus,Gasolina,2.5,Other,Sport,Auto,,,16
1318,10072,UX-250h Dynamic 2.0 16V Aut. (Híbrido),Lexus,Gasolina,2.0,Other,,Auto,,,16
1319,5346,320 ELITE 1.3 16V 88cv 5p,LIFAN,Gasolina,1.3,Other,,,5,8,16
1320,6467,X60 1.8 16V 128cv 5p Mec.,LIFAN,Gasolina,1.8,Other,,Manual,5,1,16
1321,4500,SCORPIO 2.6 CD TB Diesel CRDe 4x4,Mahindra,Diesel,2.6,Diesel,Pickup,,,,
1322,1527,180-D Pick-Up/Furgão 2.4 Diesel,Mercedes-Benz,Diesel,2.4,Diesel,,,,,
